"Timestep"	"N"	"DBH"	"H"	"BA"
0	3937.657702	0.000343807942105162	0.00131375219654729	0.551813571326942
1	3877.793898	0.000440171142180432	0.00148359101802354	0.851891496146305
2	3820.550963	0.000538908572071622	0.00164023469549583	1.21112795903351
3	3766.053426	0.000639787710508422	0.00178702826944615	1.62643950107594
4	3714.422136	0.000742521750703912	0.00192586246680743	2.09492217313576
5	3665.76358	0.000846771261295045	0.00205784054706909	2.61384173308988
6	3620.184669	0.000952142265295306	0.00218356660462853	3.18063768968786
7	3577.772691	0.00105819309000384	0.00230333814414214	3.79290262534932
8	3538.616776	0.00116443298907942	0.00241723655381248	4.44839197174868
9	3502.801424	0.00127032809178984	0.00252519717225781	5.14502038480089
10	3470.396337	0.00137531177688651	0.00262706288360375	5.88083582446537
11	3441.467812	0.00147878911423064	0.00272260864183434	6.65403291896984
12	3416.087119	0.001580140177281	0.00281156279500359	7.46295973431214
13	3394.314951	0.00167873831427331	0.0028936558333478	8.30608973259827
14	3376.204302	0.00177395967716836	0.00296861194586493	9.18202054101321
15	3361.809226	0.00186519081238284	0.00303617341217565	10.0894771721148
16	3351.180795	0.00195184207728601	0.00309611316209016	11.027315508573
17	3344.36693	0.00203335898804376	0.00314825287071173	11.9945068234952
18	3341.412637	0.0021092328330221	0.00319243204775092	12.9901274397837
19	3342.36651	0.00217900850034506	0.00322862622420272	14.0133981850087
20	3347.268395	0.00224229718268359	0.00325679982375232	15.0636034705031
21	3356.1626994	0.00229877968476607	0.00327700315228977	16.1401583928476
22	3369.0917451	0.00234821314242858	0.00328936197572764	17.2425835024522
23	3386.0991479	0.00239043063868603	0.00329405921415018	18.3704979019442
24	3407.2259429	0.00242535018167809	0.00329131306657895	19.523598110091
25	3432.5153645	0.00245296696807163	0.00328146963072582	20.7017050269552
26	3462.0085276	0.00247335255655035	0.00326485192655128	21.9046911152414
27	3484.5431677	0.00248694865517204	0.00323797396678465	23.1022923181143
28	3510.1551363	0.00249420682015315	0.00320534065969291	24.3165445755078
29	3531.8907189	0.00249977503852767	0.00317377267678143	25.4100875156392
30	3555.2868051	0.00248111958081067	0.00313970070122953	26.4436477622379
31	3581.3486738	0.00245956450451724	0.00310229364623501	27.4884082664201
32	3600.0131823	0.00244217268514424	0.00307096323928189	28.4438298593789
33	3621.4931101	0.0024219540284247	0.00303614858474972	29.4094981035489
34	3645.7616448	0.00239910669419854	0.00299829046344264	30.3851091120586
35	3672.7830606	0.00237383760537362	0.00295770056790592	31.3703098170322
36	3702.5189713	0.002346360457302	0.00291468405716367	32.3647428690141
37	3734.9356192	0.00231689284819702	0.00286955378703498	33.3681257346574
38	3770.0004376	0.00228564560195464	0.00282260788657613	34.3801563628734
39	3807.6758688	0.00225283003993358	0.0027741216195316	35.4005264597742
40	3847.9285717	0.00221864872584632	0.00272438292708844	36.4289599485843
41	3882.2080194	0.00217055924043109	0.00267036660630302	37.1436487665369
42	3917.8393833	0.00212423165591708	0.00261805742956379	37.8592231068017
43	3954.7885502	0.00207958656791511	0.00256732513977797	38.5755980653489
44	3993.0211857	0.00203654639126687	0.00251806072288522	39.2926063048602
45	4032.5045841	0.00199503931849809	0.00247019613357141	40.0101583098668
46	4073.209341	0.0019597585642374	0.00242367145753745	40.7281856493938
47	4115.1016874	0.00193223138249558	0.00237843055864136	41.4465212801362
48	4158.1537531	0.0019049290175932	0.00233442582800205	42.1651250107768
49	4202.3343416	0.00187788366777801	0.00229162859350623	42.8838528431681
50	4247.6189724	0.00185112290129092	0.00225000473321268	43.6026801658232
51	4293.9782329	0.00182467047721514	0.00220951717020638	44.321496285987
52	4341.3863378	0.00179855093811063	0.00217013234310809	45.0402329209412
53	4389.8172132	0.00177278163243487	0.00213183279696307	45.7588102162792
54	4439.2444748	0.00174737934934272	0.00209458529261766	46.4771588451447
55	4489.6472763	0.0017223594236663	0.00205835483204071	47.1952317251495
56	4540.9998126	0.00169773374934603	0.00202312452311581	47.9129740849246
57	4593.2820677	0.00167351304724996	0.00198886695452554	48.6303409021211
58	4645.8692217	0.00164991770557669	0.0019558015892657	49.1083794652142
59	4698.7957872	0.00162691991239628	0.00192386496445774	49.5906701175354
60	4752.0931814	0.00160449365502266	0.00189299381741091	50.077119565048
61	4805.787057	0.001582615206525	0.00186313013365299	50.5676486273767
62	4859.8969041	0.00156126439284892	0.00183421681934326	51.0619160447615
63	4914.4467373	0.00154041958589866	0.00180621058323528	51.5599626386025
64	4969.4554195	0.0015200650728293	0.00177906300043316	52.0616546264131
65	5024.939896	0.00150018299408549	0.00175651058137275	52.5667979754852
66	5080.9095557	0.00148075790386799	0.00173469285849414	53.0752410491411
67	5137.3809952	0.00146177438937959	0.00171341530522968	53.5873772465
68	5194.3660826	0.00144322064430971	0.00169264089146752	54.1031445618286
69	5251.8710453	0.00142508234130378	0.00167235768400774	54.6224205803158
70	5309.9065905	0.00140734795344817	0.00165253962945065	55.1451860192023
71	5368.4814393	0.00139000606675422	0.00163316340355711	55.6714231423396
72	5427.5972193	0.00137304622243032	0.00161420889857907	56.2009632856564
73	5478.362059	0.0013586614472155	0.00159825465875291	56.1430699508975
74	5527.2480105	0.00134513573813219	0.00158328137203927	56.0876377452906
75	5574.3013902	0.00133242076314112	0.00156684171347924	56.034562164215
76	5619.567234	0.00132047142986476	0.00155053746436773	55.9838106087679
77	5663.0875523	0.00130924467249631	0.00153512828953917	55.9353656494998
78	5704.9062284	0.00129870415741717	0.00152056412743197	55.8891993048871
79	5745.0610667	0.00128881349488939	0.0015067922722051	55.8451996230733
80	5783.594324	0.00127954123324369	0.0014937765136583	55.8034444833581
81	5820.54316025	0.00127085589261527	0.00148147237192185	55.7639275982106
82	5855.9431958	0.00126118049565664	0.00146984507117588	55.726467631598
83	5889.83048675	0.00125013329862156	0.00145886008171934	55.6910186003832
84	5922.23888714	0.00123966352792246	0.00144848896035623	55.6576015932733
85	5953.20498928	0.00122974763364976	0.00143869360338152	55.6261781608148
86	5982.75816297	0.0012203594723999	0.0014294573038699	55.5967093453172
87	6010.93213568	0.00121147526177554	0.00142074632116254	55.5691474768402
88	6043.43072317	0.00120194594948172	0.00141121430999564	55.7688832399805
89	6070.70042503	0.00119367397352371	0.0014030953532597	55.9962128804846
90	6098.62197191	0.00118547660304599	0.00139499790889158	56.2452069360847
91	6127.23013949	0.00117734639049968	0.00138691541573621	56.5142938461925
92	6156.55084978	0.00116927601726446	0.00137884089592084	56.801880647144
93	6186.61075825	0.00116126351743694	0.00137076997025783	57.1068722242466
94	6217.42513238	0.00115330098311609	0.00136269398985082	57.4278404671809
95	6249.01009729	0.00114539346841663	0.00135461639400396	57.7639237560626
96	6281.37281748	0.00113753053016068	0.00134653106392887	58.1136999258882
97	6314.51818897	0.00112971831493052	0.0013384415397147	58.4764002481352
98	6348.44924107	0.00112195234651438	0.0013303429474926	58.8509667090097
99	6383.16713264	0.00111423398357089	0.00132224172551667	59.2366724345558
100	6418.66761985	0.00110656372247891	0.00131413335067701	59.6326260804611
101	6454.94637109	0.00109894148449989	0.00130602371995303	60.0380877425361
102	6491.99427105	0.00109137050406157	0.00129791569760654	60.4523525271349
